ID,Site,Subsite,Alternative_Name,Cruise,Month,Year,Type,Server_Location,Filename,Source,Vessel,Sonar,Frequency_kHz,URL,Note
1,EL,1,NA,2015_12A_BEL_EL,12,2015,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL1/Bathymetry/EL1_Bathymetry_CUBE_2m.tiff,EL1_Bathymetry_CUBE_2m.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
2,EL,1,NA,2015_12A_BEL_EL,12,2015,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL1/Backscatter/EL1_1mTimeSeriesBS_TrimmedtoMosaic_AVG800.tiff,EL1_1mTimeSeriesBS_TrimmedtoMosaic_AVG800.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
3,MS,Gap,NA,2016_04_WB2_CBASS,4,2016,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/MS_Gap/Bathymetry/Madison_Swanson_Gap_2m_Swath_Bathy.bag,Madison_Swanson_Gap_2m_Swath_Bathy.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
4,MS,Gap,NA,2016_04_WB2_CBASS,4,2016,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/MS_Gap/Backscatter/WBII2016_04_MadisonSwansonGap_Snippetgeotiff.tif,WBII2016_04_MadisonSwansonGap_Snippetgeotiff.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
5,SWFMG,1,NA,2016_05_BEL_SWFMG,5,2016,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG1/Bathymetry/CUBE/SWFMGMay2016_2.5mCube.bag,SWFMGMay2016_2.5mCube.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
6,SWFMG,1,NA,2016_05_BEL_SWFMG,5,2016,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG1/Backscatter/SWFMGMay2016_1mBackScatter.tiff,SWFMGMay2016_1mBackScatter.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
7,SWFMG,2,NA,2016_06_WB2_SWFMG,6,2016,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG2/Bathymetry/Swath_Angle/SWFMG2June2016_2m.tiff,SWFMG2June2016_2m.tiff,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
8,SWFMG,2,NA,2016_06_WB2_SWFMG,6,2016,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG2/Backscatter/SWFMG2June2016_1mBackScatter_cropped.tif,SWFMG2June2016_1mBackScatter_cropped.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
9,SWFMG,3,NA,2016_07_BEL_SWFMG,7,2016,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG3/Bathymetry/CUBE/SWFMG3July2016Cube_2m.bag,SWFMG3July2016Cube_2m.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
10,SWFMG,3,NA,2016_07_BEL_SWFMG,7,2016,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG3/Backscatter/SWFMG3July2016_1mBS.tiff,SWFMG3July2016_1mBS.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
11,SWFMG,4,NA,2016_09_BEL_SWFMG,9,2016,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG4/Bathymetry/CUBE/SWFMG4Cube2m.bag,SWFMG4Cube2m.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
12,SWFMG,4,NA,2016_09_BEL_SWFMG,9,2016,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG4/Backscatter/SWFMG4BeamAverage1m.tiff,SWFMG4BeamAverage1m.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
13,EFMG,1,NA,2017_04_WB2_CBASS,4,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/EFMG/EFMG1/Bathymetry/EastFMG1mswathangleApril2017.bag,EastFMG1mswathangleApril2017.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
14,EFMG,1,NA,2017_04_WB2_CBASS,4,2017,Backscatter,NA,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
15,EL,2,NA,2017_04_WB2_CBASS,4,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL2/Bathymetry/EL2_AGU.bag,EL2_AGU.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7126,400,https://www.marine.usf.edu/scamp/,NA
16,EL,2,NA,2017_04_WB2_CBASS,4,2017,Backscatter,NA,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7127,400,https://www.marine.usf.edu/scamp/,NA
17,SWFMG,5,NA,2017_07A_BEL_SWFMG,7,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG5/Bathymetry/SWFMG5_4mCUBEBathy.bag,SWFMG5_4mCUBEBathy.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
18,SWFMG,5,NA,2017_07A_BEL_SWFMG,7,2017,Backscatter,NA,NA,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
19,SWFMG,6,NA,2017_07C_BEL_SWFMG,7,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG6_WFMG1/Bathymetry/Cube/WFMG_4mCUBEBathy.bag,WFMG_4mCUBEBathy.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
20,SWFMG,6,NA,2017_07C_BEL_SWFMG,7,2017,Backscatter,NA,NA,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
21,EL,3,NA,2017_10_WB2_CBASS,10,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL3/Bathymetry/EL3_4mSwathBathy.bag,EL3_4mSwathBathy.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7126,400,https://www.marine.usf.edu/scamp/,NA
22,EL,3,NA,2017_10_WB2_CBASS,10,2017,Backscatter,NA,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7127,400,https://www.marine.usf.edu/scamp/,NA
23,SWFMG,7AB,NA,2017_10_WB2_CBASS,10,2017,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG7_WFMG2/Bathymetry/WFMG2_4mSwathBathy.bag,WFMG2_4mSwathBathy.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,Split this up
24,SWFMG,7AB,NA,2017_10_WB2_CBASS,10,2017,Backscatter,NA,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,Split this up
25,EL,4,NA,2018_04C_WB2_CBASS,4,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL4/Bathymetry/201804Elbow2mSA.bag,201804Elbow2mSA.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
26,EL,4,NA,2018_04C_WB2_CBASS,4,2018,Backscatter,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL4/Backscatter/EL4BS1m.tiff,EL4BS1m.tiff,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
27,SWFMG,9,1807,2018_07B_HOG_SWFMG,7,2018,Bathymetry,1_Cruises/2018_07B_HOG_SWFMG/QimeraProject/2018-07B-HOG/Export/SWFMG1807_2m_Raw.bag,SWFMG1807_2m_Raw.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
28,SWFMG,9,1807,2018_07B_HOG_SWFMG,7,2018,Backscatter,D:/Ilich/1_Cruises/2018_07B_HOG_SWFMG/FMGT_Projects/SWFMG_9.fmproj/Output/Mosaic/SWFMG_9_BS_TS_43-47_1m/SWFMG_9_BS_TS_43-47_1m.tif,SWFMG_9_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
29,SWFMG,10A,1808,2018_08_HOG_SWFMG,8,2018,Bathymetry,1_Cruises/2018_08_HOG_SWFMG/QimeraProjects/2018-08-HOG/Export/1808-SWFMG_2m_Raw.bag,1808-SWFMG_2m_Raw.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
30,SWFMG,10A,1808,2018_08_HOG_SWFMG,8,2018,Backscatter,D:/Ilich/1_Cruises/2018_08_HOG_SWFMG/FMGT_Projects/SWFMG_10A.fmproj/Output/Mosaic/SWFMG_10A_BS_TS_43-47_1m/SWFMG_10A_BS_TS_43-47_1m.tif,SWFMG_10A_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
31,SWFMG,10B,Mustache_Ext,2018_08_HOG_SWFMG,8,2018,Bathymetry,1_Cruises/2018_08_HOG_SWFMG/QimeraProjects/2018-08-HOG/Export/Mustache_Ext.bag,Mustache_Ext.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
32,SWFMG,10B,Mustache_Ext,2018_08_HOG_SWFMG,8,2018,Backscatter,D:/Ilich/1_Cruises/2018_08_HOG_SWFMG/FMGT_Projects/SWFMG_10B.fmproj/Output/Mosaic/SWFMG_10B_BS_TS_43-47_1m/SWFMG_10B_BS_TS_43-47_1m.tif,SWFMG_10B_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
33,EL,5,NA,2018_09_WB2_CBASS,9,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL5/Bathymetry/1809_EL5_2mBathy_PRELIMINARY.bag,1809_EL5_2mBathy_PRELIMINARY.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
34,EL,5,NA,2018_09_WB2_CBASS,9,2018,Backscatter,1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/EL_5.fmproj/Output/Mosaic/EL_5_BS_TS_43-47_1m/EL_5_BS_TS_43-47_1m.tif,EL_5_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
35,SWFMG,8A,WFMG3C,2018_09_WB2_CBASS,9,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG8_WFMG3/Bathymetry/1809_WFMG3C_2mBathy_PRELIMINARY.bag,1809_WFMG3C_2mBathy_PRELIMINARY.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
36,SWFMG,8A,WFMG3C,2018_09_WB2_CBASS,9,2018,Backscatter,1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/SWFMG_8A.fmproj/Output/Mosaic/SWFMG_8A_BS_TS_43-47_1m/SWFMG_8A_BS_TS_43-47_1m.tif,SWFMG_8A_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
37,SWFMG,8B,WFMG3D,2018_09_WB2_CBASS,9,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG8_WFMG3/Bathymetry/1809_WFMG3D_2mBathy_PRELIMINARY.bag,1809_WFMG3D_2mBathy_PRELIMINARY.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
38,SWFMG,8B,WFMG3D,2018_09_WB2_CBASS,9,2018,Backscatter,1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/SWFMG_8B.fmproj/Output/Mosaic/SWFMG_8B_BS_TS_43-47_1m/SWFMG_8B_BS_TS_43-47_1m.tif,SWFMG_8B_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://www.marine.usf.edu/scamp/,NA
39,EL,6A,NA,2018_10_HOG,10,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL6/Bathymetry/EL6A_PRELIMINARY.bag,EL6A_PRELIMINARY.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
40,EL,6A,NA,2018_10_HOG,10,2018,Backscatter,1_Cruises/2018_10_HOG/FMGT_Projects/EL_6A.fmproj/Output/Mosaic/EL_6A_BS_TS_43-47_1m/EL_6A_BS_TS_43-47_1m.tif,EL_6A_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
41,EL,6B,NA,2018_10_HOG,10,2018,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL6/Bathymetry/EL6B_PRELIMINARY.bag,EL6B_PRELIMINARY.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
42,EL,6B,NA,2018_10_HOG,10,2018,Backscatter,1_Cruises/2018_10_HOG/FMGT_Projects/EL_6B.fmproj/Output/Mosaic/EL_6B_BS_TS_43-47_1m/EL_6B_BS_TS_43-47_1m.tif,EL_6B_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
43,RADIUS,1A,NA,2019_04A_HOG,4,2019,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/RADIUS_1/Bathymetry/RadiusStep1A_3m.bag,RadiusStep1A_3m.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
44,RADIUS,1A,NA,2019_04A_HOG,4,2019,Backscatter,1_Cruises/2019_04A_HOG/Multibeam/FMGT_Projects/RADIUS_1A.fmproj/Output/Mosaic/RADIUS_1A_BS_TS_43-47_1m/RADIUS_1A_BS_TS_43-47_1m.tif,RADIUS_1A_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
45,ULNA,1A,NA,2019_04A_HOG,4,2019,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULNA_1/Bathymetry/UlnaLedges1A_3m.bag,UlnaLedges1A_3m.bag,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
46,ULNA,1A,NA,2019_04A_HOG,4,2019,Backscatter,1_Cruises/2019_04A_HOG/Multibeam/FMGT_Projects/ULNA_1A.fmproj/Output/Mosaic/ULNA_1A_BS_TS_43-47_1m/ULNA_1A_BS_TS_43-47_1m.tif,ULNA_1A_BS_TS_43-47_1m.tif,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
47,RADIUS,2A,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/RADIUS_2/Bathymetry/RadiusStep_2A_3m.bag,RadiusStep_2A_3m.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
48,RADIUS,2A,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/RADIUS_2A.fmproj/Output/Mosaic/RADIUS_2A_BS_TS_43-47_1m/RADIUS_2A_BS_TS_43-47_1m.tif,RADIUS_2A_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
49,ULBOW,1A,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULBOW_1/Bathymetry/ULbow_1A_3m.bag,ULbow_1A_3m.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
50,ULBOW,1A,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/ULBOW_1A.fmproj/Output/Mosaic/ULBOW_1A_BS_TS_43-47_1m/ULBOW_1A_BS_TS_43-47_1m.tif,ULBOW_1A_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
51,ULBOW,1B,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULBOW_1/Bathymetry/ULbow_1B_3m.bag,ULbow_1B_3m.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
52,ULBOW,1B,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/ULBOW_1B.fmproj/Output/Mosaic/ULBOW_1B_BS_TS_43-47_1m/ULBOW_1B_BS_TS_43-47_1m.tif,ULBOW_1B_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
53,ULNA,2A,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,1_Cruises/2019_04B_WB2_CBASS/Multibeam/Qimera_Project/2019-04B-WB2-CBASS/Export/ULNA_2A_3m.bag,ULNA_2A_3m.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
54,ULNA,2A,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/ULNA_2A.fmproj/Output/Mosaic/ULNA_2A_BS_TS_43-47_1m/ULNA_2A_BS_TS_43-47_1m.tif,ULNA_2A_BS_TS_43-47_1m.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://www.marine.usf.edu/scamp/,NA
55,Edges,NA,NA,NA,NA,NA,Bathymetry,2_Projects/GIS/G_Multibeam_Other_Sources/The_Edges_Seasonal_MPA/Bathymetry/TheEdges_2005_08_corridor_001.asc,TheEdges_2005_08_corridor_001.asc,David Naar,NA,NA,NA,NA,NA
56,Edges,NA,NA,NA,NA,NA,Backscatter,NA,NA,David Naar,NA,NA,NA,NA,NA
57,FMG,NA,NA,NA,NA,2000,Bathymetry,2_Projects/GIS/G_Multibeam_Other_Sources/Florida_Middle_Grounds_HAPC/Bathymetry/2006_fmg.asc,2006_fmg.asc,David Naar,R/V Suncoaster,Kongsberg Simrad EM3000,300,https://www.ngdc.noaa.gov/ships/suncoaster/2006_07_FMG_mb.html,Mapping spanned from 2000-2006
58,FMG,NA,NA,NA,NA,2000,Backscatter,2_Projects/GIS/G_Multibeam_Other_Sources/Florida_Middle_Grounds_HAPC/Backscatter/2006_07_fmg_5m_NAfixed.tif,2006_07_fmg_5m_NAfixed.tif,David Naar,R/V Suncoaster,Kongsberg Simrad EM3000,300,https://www.ngdc.noaa.gov/ships/suncoaster/2006_07_FMG_mb.html,Mapping spanned from 2000-2006
